FID,CODCALLE,TEXTO,NUMERO,GRUPO,CAPACIDAD,OBSERVACIO,PTO_REC,UTM_X,UTM_Y,GRAD_X,GRAD_Y
0.0,11044,CALLE RAMON Y CAJAL,45,1.0,120.0,Colegio San Fernando,AE030,376613.320783,3149497.12189,-16.2603281953,28.4662246732
1.0,20395,CALLE LEGAZPI,2,1.0,120.0,Colegio Tome Cano,AE039,376515.366309,3148704.0885,-16.2612435699,28.4590586773
2.0,20623,CALLE JOSE HERNANDEZ ALFONSO,36,1.0,120.0,Colegio Isabel La Catolica,AE012,377232.038127,3148823.08044,-16.253937767,28.4602001806
3.0,10307,CALLE SAN FERNANDO,140,1.0,120.0,Colegio Fray Albino,AE009,377585.497326,3150455.66737,-16.2505017521,28.4749667224
4.0,10114,CALLE LA ROSA,39,1.0,120.0,Colegio Onesimo Redondo,AE025,377687.759505,3150099.39222,-16.2494194811,28.4717611116
5.0,40821,CTRA LOS CAMPITOS,79,1.0,120.0,Colegio Susana Villavicencio,AE035,376602.970928,3151412.19862,-16.2606390871,28.4835062599
6.0,30896,CALLE FEBLES CAMPOS,36,1.0,120.0,Colegio Jose Antonio,AE014,376088.018727,3149857.14232,-16.2657315214,28.4694238492
7.0,22301,CALLE SAN JUAN DE LA RAMBLA,1,1.0,120.0,Colegio Hermanos Estevanez Mur,AE011,374931.311586,3149931.89645,-16.2775527269,28.4699880055
8.0,21963,CALLE GUIA DE ISORA,46,1.0,120.0,Colegio Rodriguez Galvan,AE029,375424.948346,3150341.16995,-16.2725556089,28.4737287346
9.0,21963,CALLE GUIA DE ISORA,44,1.0,120.0,Colegio Veinticinco de Julio,AE040,375396.74207,3150290.29966,-16.272838179,28.4732669629
10.0,31122,CALLE UNAMUNO, ,1.0,120.0,Colegio 5 Centenario,AE001,376254.923976,3149039.45204,-16.2639391454,28.4620604755
11.0,31211,CALLE ALCALDE GARCIA RAMOS,2,1.0,120.0,Colegio Los Verodes,AE020,375802.01224,3148642.40722,-16.268521496,28.4584343006
12.0,42561,CALLE NUÑEZ DE LA PEÑA,33,1.0,120.0,Colegio Tagoror,AE036,375415.97738,3148418.35772,-16.2724393296,28.456375558
13.0,31772,CALLE SANTA MARIA SOLEDAD,4,1.0,120.0,Colegio Ofra Vistabella,AE024,374088.122167,3148915.68971,-16.2860529223,28.4607361829
14.0,51374,CALLE BARRANCO GRANDE,24,1.0,120.0,Colegio Bethencourt y Molina,AE003,371797.651686,3146236.87083,-16.3091448181,28.4363384625
15.0,44672,CALLE PEDRO DOBLADO CLAVERIE, ,1.0,120.0,Colegio Las Delicias,AE016,374190.067602,3147912.48807,-16.2849023884,28.4516927126
16.0,45644,CALLE CARDENAL CISNEROS,4,1.0,120.0,Colegio Buena Ventura Bonnet,AE004,374618.989825,3148150.68572,-16.2805485894,28.4538836041
17.0,43966,CALLE DOMINGO SALAZAR COLOGAN, ,1.0,120.0,Colegio Chimisay,AE005,374395.373588,3148645.07382,-16.2828858384,28.4583236601
18.0,10563,AVDA JOSE MARTI,12,1.0,120.0,Colegio Miguel Pintor,AE022,378286.958604,3151152.40198,-16.2434111456,28.4813201203
19.0,50421,AVDA DE TINCER,46,1.0,120.0,Colegio Tincer,AE038,372291.073457,3147114.47495,-16.3042044359,28.4443066485
20.0,50587,CALLE MARIA DE LA PAZ,7,1.0,120.0,Colegio El Draguillo,AE007,372416.686046,3146452.60002,-16.3028487144,28.4383459293
21.0,50974,CALLE GANSO,2,1.0,120.0,Colegio Santa Cruz de Californ,AE031,370552.355263,3146601.34911,-16.3218993524,28.4395047396
22.0,82217,CALLE ANTONIO MACHADO, ,1.0,120.0,Colegio Los Dragos,AE018,375906.617813,3148871.40074,-16.2674779554,28.4605108034
23.0,42561,CALLE NUÑEZ DE LA PEÑA, ,1.0,120.0,Colegio Garcia Escamez,AE010,375399.894108,3148383.03201,-16.2725997446,28.4560552262
24.0,10799,PASEO LAS RETAMAS, ,1.0,120.0,Colegio Las Retamas,AE017,373931.314256,3147921.94485,-16.2875455347,28.4517530763
25.0,57711,PSAJE LOS BANQUITOS,19,1.0,120.0,Colegio Jose Perez Rodriguez,AE015,386959.001733,3155938.35096,-16.155304019,28.5252935133
26.0,41051,CALLE REVERENDO ONESIMO BETANCORT,6,1.0,120.0,Colegio Isabel Sarmiento,AE013,378857.80455,3151891.61061,-16.2376583425,28.4880443375
27.0,40933,CTRA TAHODIO,6,1.0,120.0,Colegio Alonso Espinola,AE002,377862.513502,3151755.10612,-16.2478103504,28.4867195134
28.0,59072,CALLE AGANA,1,1.0,120.0,Colegio Sta Maria del Mar,AE034,372087.3568,3144984.68124,-16.3060483472,28.4250666532
29.0,31772,CALLE SANTA MARIA SOLEDAD,53,1.0,120.0,Colegio Ofra Santa Clara,AE023,373925.58362,3148472.44607,-16.2876642504,28.4567204708
30.0,40202,CALLE SAN JUAN EVANGELISTA,32,1.0,120.0,Colegio Rafael Gavino del Bosq,AE026,379962.268252,3152374.09995,-16.2264269679,28.4925008417
31.0,56584,CALLE DOCTOR RAFAEL FOLCH YOU,1,1.0,120.0,Colegio Republica Argentina,AE027,383039.677659,3154039.09973,-16.1951600428,28.5078069067
32.0,52435,CALLE CASTAÑO, ,1.0,120.0,Colegio El Tablero,AE008,369526.627054,3144599.98233,-16.3321453954,28.4213417212
33.0,57877,CALLE DECANO CONSULAR JESUS RAMOS GONZALEZ,8,1.0,120.0,Colegio Secundino Delgado,AE032,372807.255052,3144607.41854,-16.298657844,28.421732386
34.0,82287,CALLE LAS TOSCAS,6,1.0,120.0,Colegio Dolores Alvarez,AE006,382862.172152,3161127.25307,-16.1976969097,28.57175873
35.0,10534,CTRA CHAMORGA, ,1.0,120.0,Colegio Ricardo Hodgson,AE028,386588.254393,3160840.17377,-16.1595770159,28.5694988101
36.0,42247,PLAZA DE ROQUE NEGRO, ,1.0,120.0,Colegio Sor Florentina y Agust,AE033,378042.032093,3158021.12131,-16.2466415828,28.5432838169
37.0,51923,CALLE CONVENTO,23,1.0,120.0,Colegio Matias Llambres Verdu,AE021,369271.372566,3146722.51548,-16.3349913798,28.4404705116
38.0,32713,CTRA DEL ROSARIO,88a,1.0,120.0,Colegio Tena Artigas (adultos),AE037,374872.505691,3148253.60367,-16.2779710659,28.454836723
39.0,10101,CALLE CUPRESO,1,1.0,120.0,Colegio Los Menceyes,AE019,372301.940643,3144759.64709,-16.3038329235,28.423056855
40.0,32237,CALLE ELADIO ROCA Y SALAZAR,2,1.0,120.0,Colegio Villa Ascension,AE041,375086.075637,3149382.49891,-16.2759125963,28.465044843
41.0,40635,AVDA PEDRO SCHWARTZ, ,1.0,120.0,Distrito Anaga - Infobox,AE046,383398.290132,3153855.5135,-16.1914775917,28.5061822777
42.0,10385,GTA ARQUITECTO MARRERO REGALADO,7,1.0,120.0,Distrito Centro Ifara,AE045,377860.92812,3150351.6091,-16.2476776545,28.4740534862
43.0,10903,CALLE SAN PEDRO ALCANTARA,5,1.0,120.0,Sede IMAS,AE044,377668.498739,3149528.226,-16.2495555386,28.4666048018
44.0,30053,CALLE GENERAL ANTEQUERA,14,1.0,120.0,Sede Municipal Ayto,AE053,377177.471676,3149947.51843,-16.2546148534,28.4703425454
45.0,31041,CALLE ZURBARAN,30,1.0,120.0,Distrito Salud La Salle,AE048,376051.68753,3149534.91996,-16.2660678945,28.4665125105
46.0,83252,CALLE DOCTOR FERNANDO BARAJAS PRAT,1,1.0,120.0,OAD,AE049,376614.453641,3149038.61846,-16.2602675302,28.4620870198
47.0,30092,AVDA VEINTICINCO DE JULIO, ,1.0,120.0,Aulas Antigua Escuela Empresar,AE050,377031.95055,3149881.37246,-16.2560939773,28.4697318925
48.0,30714,CALLE SANTA VICENTA MARIA DE LOPEZ DE VICUÑA, ,1.0,120.0,Pabellon Ana Bautista OAD,AE052,376762.913473,3149336.57594,-16.2587833182,28.4647899749
49.0,10605,CALLE ANTONIO DOMINGUEZ ALFONSO,7,1.0,120.0,OAF,AE055,377666.193052,3149312.44266,-16.2495561749,28.4646572428
50.0,20712,AVDA SAN SEBASTIAN,1,1.0,120.0,Mercado Africa,AE056,377435.475922,3149158.98402,-16.2518960086,28.4632506856
51.0,20116,AVDA TRES DE MAYO,40,1.0,120.0,Gerencia Urbanismo Ayto,AE054,376571.609604,3148639.34131,-16.2606622945,28.4584796903
52.0,20116,AVDA TRES DE MAYO,79,1.0,120.0,Policia Local,AE051,376645.95767,3148592.24538,-16.2598980351,28.4580617069
53.0,43854,CALLE ELIAS BACALLADO,2A,1.0,120.0,Distrito Ofra Costa Sur,AE047,374246.236135,3148807.6014,-16.2844264996,28.4597760054
54.0,43854,CALLE ELIAS BACALLADO,2A,1.0,120.0,Sede Municipal Ayto Ofra,AE043,374243.061129,3148814.216,-16.2844596436,28.4598353921
55.0,57274,CTRA GENERAL DEL SUR,33,1.0,120.0,Distrito Suroeste,AE042,372249.648389,3146438.03129,-16.3045524853,28.438198119
56.0,31095,PQUE LA GRANJA, ,1.0,120.0,Sede Municipal Ayto,AE057,376166.811893,3149122.36275,-16.2648478566,28.4628003373
57.0,11261,CALLE SUAREZ GUERRA,19,1.0,120.0,Sociedad de Desarrollo,AE058,377324.872874,3149689.20221,-16.2530819588,28.4680252474
